year,country,category,value
2022,Canada,North America,149
2022,Costa Rica,North America,13
2022,Cyprus,Asia,13707
2022,Czechia,Europe,386371
2022,Denmark,Europe,27954
2022,Ecuador,South America,44
2022,Estonia,Europe,28181
2022,Finland,Europe,29172
2022,France,Europe,94970
2022,United Kingdom of Great Britain and Northern Ireland,Europe,91223
2022,Georgia,Asia,22647
2022,Germany,Europe,876311
2022,Greece,Europe,16882
2022,Croatia,Europe,15387
2022,Hungary,Europe,25982
2022,Iceland,Europe,1240
2022,Ireland,Europe,41043
2022,Israel,Asia,27
2022,Italy,Europe,145593
2022,Kyrgyzstan,Asia,17
2022,South Korea,Asia,14
2022,Liechtenstein,Europe,280
2022,Lithuania,Europe,47569
2022,Luxembourg,Europe,4259
2022,Latvia,Europe,34256
2022,North Macedonia,Europe,1174
2022,Moldova,Europe,75762
2022,Mexico,North America,20
2022,Montenegro,Europe,9133
2022,Malta,Europe,1337
2022,Netherlands,Europe,67612
2022,Norway,Europe,19916
2022,Panama,North America,9
2022,Peru,South America,23
2022,Poland,Europe,1200207
2022,Portugal,Europe,38272
2022,Romania,Europe,83326
2022,South Africa,Africa,5
2022,Russian Federation,Europe ,1456250
2022,Spain,Europe,128129
2022,Kosovo,Europe,772
2022,Slovakia,Europe,83297
2022,Slovenia,Europe,6652
2022,Sweden,Europe,40129
2022,Switzerland,Europe,57697
2022,Uruguay,South America,15
2022,United States of America,North America,2794
