year,Origin,Asylum,Refugee,originLon,originLat,destinationLon,destinationLat
2019,Ukraine,Italy,6353,31.2718321,49.4871968,12.674297,42.6384261
2019,Ukraine,Kyrgyzstan,23,31.2718321,49.4871968,74.724091,41.5089324
2019,Ukraine,South Korea,14,31.2718321,49.4871968,127.6961188,36.638392
2019,Ukraine,Liechtenstein,5,31.2718321,49.4871968,9.5531527,47.1416307
2019,Ukraine,Lithuania,64,31.2718321,49.4871968,23.7499997,55.3500003
2019,Ukraine,Luxembourg,6,31.2718321,49.4871968,6.1296751,49.8158683
2019,Ukraine,Mauritania,5,31.2718321,49.4871968,-9.2399263,20.2540382
2019,Ukraine,Moldova,53,31.2718321,49.4871968,28.5670941,47.2879608
2019,Ukraine,Mexico,17,31.2718321,49.4871968,-102.0077097,23.6585116
2019,Ukraine,Malta,142,31.2718321,49.4871968,14.4476911,35.8885993
2019,Ukraine,Netherlands,20,31.2718321,49.4871968,5.541246849,52.24764975
2019,Ukraine,Norway,10,31.2718321,49.4871968,8.7876653,61.1529386
2019,Ukraine,Peru,17,31.2718321,49.4871968,-75.0458515,-6.8699697
2019,Ukraine,Poland,485,31.2718321,49.4871968,19.134422,52.215933
2019,Ukraine,Portugal,436,31.2718321,49.4871968,-8.1353519,39.6621648
2019,Ukraine,Romania,22,31.2718321,49.4871968,24.6859225,45.9852129
2019,Ukraine,South Africa,5,31.2718321,49.4871968,24.991639,-28.8166236
2019,Ukraine,Russian Federation,40393,31.2718321,49.4871968,97.7453061,64.6863136
2019,Ukraine,Spain,631,31.2718321,49.4871968,-4.8379791,39.3260685
2019,Ukraine,Kosovo,15,31.2718321,49.4871968,20.9021231,42.5869578
2019,Ukraine,Slovakia,24,31.2718321,49.4871968,19.4528646,48.7411522
2019,Ukraine,Slovenia,5,31.2718321,49.4871968,14.8153333,46.1199444
2019,Ukraine,Sweden,223,31.2718321,49.4871968,14.5208584,59.6749712
2019,Ukraine,Switzerland,65,31.2718321,49.4871968,8.2319736,46.7985624
2019,Ukraine,Uruguay,11,31.2718321,49.4871968,-56.0201525,-32.8755548
2019,Ukraine,United States of America,2580,31.2718321,49.4871968,-100.445882,39.7837304
2020,Ukraine,Argentina,118,31.2718321,49.4871968,-64.9672817,-34.9964963
2020,Ukraine,Armenia,115,31.2718321,49.4871968,44.6736646,40.7696272
2020,Ukraine,Australia,24,31.2718321,49.4871968,134.755,-24.7761086
2020,Ukraine,Austria,251,31.2718321,49.4871968,14.12456,47.59397
2020,Ukraine,Azerbaijan,5,31.2718321,49.4871968,47.7872508,40.3936294
2020,Ukraine,Belgium,254,31.2718321,49.4871968,4.6667145,50.6402809
2020,Ukraine,Belarus,2471,31.2718321,49.4871968,27.6971358,53.4250605
2020,Ukraine,Bolivia,5,31.2718321,49.4871968,-64.9912286,-17.0568696
2020,Ukraine,Brazil,19,31.2718321,49.4871968,-53.2,-10.3333333
2020,Ukraine,Canada,1205,31.2718321,49.4871968,-107.991707,61.0666922
2020,Ukraine,Costa Rica,13,31.2718321,49.4871968,-84.0739102,10.2735633
2020,Ukraine,Cyprus,30,31.2718321,49.4871968,33.1451285,34.9823018
2020,Ukraine,Czechia,284,31.2718321,49.4871968,15.3381061,49.7439047
2020,Ukraine,Denmark,29,31.2718321,49.4871968,10.3333283,55.670249
2020,Ukraine,Ecuador,15,31.2718321,49.4871968,-79.3666965,-1.3397668
2020,Ukraine,Estonia,29,31.2718321,49.4871968,25.3319078,58.7523778
2020,Ukraine,Finland,11,31.2718321,49.4871968,25.9209164,63.2467777
2020,Ukraine,France,1921,31.2718321,49.4871968,1.8883335,46.603354
2020,Ukraine,United Kingdom of Great Britain and Northern Ireland,208,31.2718321,49.4871968,-3.2765753,54.7023545
2020,Ukraine,Georgia,493,31.2718321,49.4871968,44.0287382,41.6809707
2020,Ukraine,Germany,895,31.2718321,49.4871968,10.4478313,51.1638175
2020,Ukraine,Greece,158,31.2718321,49.4871968,21.9877132,38.9953683
2020,Ukraine,Croatia,8,31.2718321,49.4871968,15.6575209,45.3658443
2020,Ukraine,Hungary,14,31.2718321,49.4871968,19.5060937,47.1817585
2020,Ukraine,Iceland,19,31.2718321,49.4871968,-18.1059013,64.9841821
2020,Ukraine,Ireland,85,31.2718321,49.4871968,-7.9794599,52.865196
2020,Ukraine,Israel,27,31.2718321,49.4871968,34.8594762,30.8124247
2020,Ukraine,Italy,2920,31.2718321,49.4871968,12.674297,42.6384261
2020,Ukraine,Kyrgyzstan,21,31.2718321,49.4871968,74.724091,41.5089324
2020,Ukraine,South Korea,14,31.2718321,49.4871968,127.6961188,36.638392
2020,Ukraine,Liechtenstein,5,31.2718321,49.4871968,9.5531527,47.1416307
2020,Ukraine,Lithuania,64,31.2718321,49.4871968,23.7499997,55.3500003
2020,Ukraine,Luxembourg,5,31.2718321,49.4871968,6.1296751,49.8158683
2020,Ukraine,Moldova,33,31.2718321,49.4871968,28.5670941,47.2879608
2020,Ukraine,Mexico,17,31.2718321,49.4871968,-102.0077097,23.6585116
2020,Ukraine,Malta,141,31.2718321,49.4871968,14.4476911,35.8885993
2020,Ukraine,Netherlands,21,31.2718321,49.4871968,5.541246849,52.24764975
2020,Ukraine,Norway,10,31.2718321,49.4871968,8.7876653,61.1529386
2020,Ukraine,Peru,17,31.2718321,49.4871968,-75.0458515,-6.8699697
2020,Ukraine,Poland,416,31.2718321,49.4871968,19.134422,52.215933
2020,Ukraine,Portugal,443,31.2718321,49.4871968,-8.1353519,39.6621648
2020,Ukraine,Romania,20,31.2718321,49.4871968,24.6859225,45.9852129
2020,Ukraine,South Africa,5,31.2718321,49.4871968,24.991639,-28.8166236
2020,Ukraine,Russian Federation,18428,31.2718321,49.4871968,97.7453061,64.6863136
2020,Ukraine,Spain,922,31.2718321,49.4871968,-4.8379791,39.3260685
2020,Ukraine,Kosovo,15,31.2718321,49.4871968,20.9021231,42.5869578
2020,Ukraine,Slovakia,24,31.2718321,49.4871968,19.4528646,48.7411522
2020,Ukraine,Slovenia,5,31.2718321,49.4871968,14.8153333,46.1199444
2020,Ukraine,Sweden,232,31.2718321,49.4871968,14.5208584,59.6749712
2020,Ukraine,Switzerland,80,31.2718321,49.4871968,8.2319736,46.7985624
2020,Ukraine,Uruguay,11,31.2718321,49.4871968,-56.0201525,-32.8755548
2020,Ukraine,United States of America,2581,31.2718321,49.4871968,-100.445882,39.7837304
2021,Ukraine,Argentina,121,31.2718321,49.4871968,-64.9672817,-34.9964963
2021,Ukraine,Armenia,117,31.2718321,49.4871968,44.6736646,40.7696272
2021,Ukraine,Australia,18,31.2718321,49.4871968,134.755,-24.7761086
2021,Ukraine,Austria,253,31.2718321,49.4871968,14.12456,47.59397
2021,Ukraine,Azerbaijan,5,31.2718321,49.4871968,47.7872508,40.3936294
2021,Ukraine,Belgium,289,31.2718321,49.4871968,4.6667145,50.6402809
2021,Ukraine,Belarus,2378,31.2718321,49.4871968,27.6971358,53.4250605
2021,Ukraine,Bolivia ,5,31.2718321,49.4871968,-64.9912286,-17.0568696
2021,Ukraine,Brazil,20,31.2718321,49.4871968,-53.2,-10.3333333
2021,Ukraine,Canada,1228,31.2718321,49.4871968,-107.991707,61.0666922
2021,Ukraine,Costa Rica,13,31.2718321,49.4871968,-84.0739102,10.2735633
2021,Ukraine,Cyprus,31,31.2718321,49.4871968,33.1451285,34.9823018
2021,Ukraine,Czechia,225,31.2718321,49.4871968,15.3381061,49.7439047
2021,Ukraine,Denmark,29,31.2718321,49.4871968,10.3333283,55.670249
2021,Ukraine,Ecuador,15,31.2718321,49.4871968,-79.3666965,-1.3397668
2021,Ukraine,Estonia,28,31.2718321,49.4871968,25.3319078,58.7523778
2021,Ukraine,Finland,11,31.2718321,49.4871968,25.9209164,63.2467777
2021,Ukraine,France,2801,31.2718321,49.4871968,1.8883335,46.603354
2021,Ukraine,United Kingdom of Great Britain and Northern Ireland,225,31.2718321,49.4871968,-3.2765753,54.7023545
2021,Ukraine,Georgia,481,31.2718321,49.4871968,44.0287382,41.6809707
2021,Ukraine,Germany,918,31.2718321,49.4871968,10.4478313,51.1638175
2021,Ukraine,Greece,169,31.2718321,49.4871968,21.9877132,38.9953683
2021,Ukraine,Croatia,8,31.2718321,49.4871968,15.6575209,45.3658443
2021,Ukraine,Hungary,13,31.2718321,49.4871968,19.5060937,47.1817585
2021,Ukraine,Iceland,20,31.2718321,49.4871968,-18.1059013,64.9841821
2021,Ukraine,Ireland,79,31.2718321,49.4871968,-7.9794599,52.865196
2021,Ukraine,Israel,27,31.2718321,49.4871968,34.8594762,30.8124247
2021,Ukraine,Italy,3379,31.2718321,49.4871968,12.674297,42.6384261
2021,Ukraine,Kyrgyzstan,18,31.2718321,49.4871968,74.724091,41.5089324
2021,Ukraine,South Korea,14,31.2718321,49.4871968,127.6961188,36.638392
2021,Ukraine,Liechtenstein,5,31.2718321,49.4871968,9.5531527,47.1416307
2021,Ukraine,Lithuania,64,31.2718321,49.4871968,23.7499997,55.3500003
2021,Ukraine,Luxembourg,5,31.2718321,49.4871968,6.1296751,49.8158683
2021,Ukraine,Moldova,18,31.2718321,49.4871968,28.5670941,47.2879608
2021,Ukraine,Mexico,19,31.2718321,49.4871968,-102.0077097,23.6585116
2021,Ukraine,Malta,142,31.2718321,49.4871968,14.4476911,35.8885993
2021,Ukraine,Netherlands,34,31.2718321,49.4871968,5.541246849,52.24764975
2021,Ukraine,Norway,13,31.2718321,49.4871968,8.7876653,61.1529386
2021,Ukraine,Peru,17,31.2718321,49.4871968,-75.0458515,-6.8699697
2021,Ukraine,Poland,422,31.2718321,49.4871968,19.134422,52.215933
2021,Ukraine,Portugal,447,31.2718321,49.4871968,-8.1353519,39.6621648
